HANDLE	BLOCKNAME	BLOCK	NO	TRAY_SIZE	TRAY_HEIGHT	AT_SITE	NO_OF_LUGS	SystemId	SUPPORT_CODE	SUPPORT_NO	TRO_ANGLE	HANGER_SIZE	HANGER_HEIGHT	HANGER_TYPE_LABEL	HANGER_LENGTH	Local origin`s x-coord	Local origin`s y-coord	Local origin`s z-coord	SLOPE ANGLE	Object Weight
'B20FA78	ELECT_HANGER_H-TYPE	2A1P	04	<>	<>	NO	<>	<>	<>	<>	<>	300A	(H=280)	<>	(600)	<>	<>	<>	<>	<>
'B1E7CFB	ELECT_CWAY_TRAYBLOCK_A	5A1	R	To-15-4.6	H=300	NO	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B1DCB7F	ELECT_HANGER_H-TYPE	4A1S	01	<>	<>	NO	<>	<>	<>	<>	<>	200A	H=600	<>	(1800)	<>	<>	<>	<>	<>
'B1DA130	ELECT_HANGER_H-TYPE	6A1	04	<>	<>	NO	<>	<>	<>	<>	<>	200A	(H=230)	<>	(600)	<>	<>	<>	<>	<>
'B20F808	ELECT_CWAY_TRAYBLOCK_A	1A1P	Z	To-40-3	H=550	YES	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B20DD8D	ELECT_HANGER_SX-TYPE	1A1S	13	<>	<>	NO	<>	<>	<>	<>	<>	300A	DH=80	TYPE "S3"	<>	<>	<>	<>	<>	<>
'B20DD84	ELECT_HANGER_HV-TYPE	1A1S	14	<>	<>	NO	<>	<>	<>	<>	<>	300A	DH=80	TYPE "H3"	(600)	<>	<>	<>	<>	<>
'B20DD7A	ELECT_HANGER_SX-TYPE	1A1S	15	<>	<>	NO	<>	<>	<>	<>	<>	150A	DH=80	TYPE "S3"	<>	<>	<>	<>	<>	<>
'B20DD71	ELECT_HANGER_SX-TYPE	1A1S	15	<>	<>	NO	<>	<>	<>	<>	<>	150A	DH=80	TYPE "S3"	<>	<>	<>	<>	<>	<>
'B20B2EF	ELECT_BRACKET	1A1S	A	<>	<>	<>	<>	<>	I-40-45	308	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B20B20F	ELECT_CWAY_TRAYBLOCK_A	1A1S	B	To-40-3.2	H=550	NO	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B204988	ELECT_CWAY_TRAYBLOCK_A	1A1S	A	To-40-24.4	H=550	NO	2	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B2049A1	ELECT_CWAY_TRAYBLOCK_A	1A1S	J	To-25-24.4		NO	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B204A73	ELECT_HANGER_S-TYPE	1A1S	10	<>	<>	NO	<>	<>	<>	<>	<>	250A	H=350	<>	<>	<>	<>	<>	<>	<>
'B20B006	ELECT_HANGER_S-TYPE	1A1P	22	<>	<>	NO	<>	<>	<>	<>	<>	150A	H=280	<>	<>	<>	<>	<>	<>	<>
'B206EA7	ELECT_CWAY_TRAYBLOCK_A	1A1P	X	To-25-3	H=250	YES	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B206E50	ELECT_CWAY_TRAYBLOCK_A	1A1P	Y	To-25-8	H=250	NO	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B206DF9	ELECT_CWAY_TRAYBLOCK_A	1A1P	W	To-30-3	H=450	YES	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B206D6A	ELECT_BRACKET	1A1P	V	<>	<>	<>	<>	<>	I-30-45	301	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B206CD2	ELECT_HANGER_S-TYPE	1A1P	19	<>	<>	NO	<>	<>	<>	<>	<>	400A	H=350	<>	<>	<>	<>	<>	<>	<>
'B206B8D	ELECT_CWAY_TRAYBLOCK_A	1A1P	A	To-40-11.3		NO	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B206852	ELECT_HANGER_H-TYPE	1A2	02	<>	<>	NO	<>	<>	<>	<>	<>	150A	(H=205)	<>	(2100)	<>	<>	<>	<>	<>
'B206845	ELECT_BRACKET	1A2	B	<>	<>	<>	<>	<>	L-22-43	305	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B20683F	ELECT_BRACKET	1A2	B	<>	<>	<>	<>	<>	L-22-43	305	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B206837	ELECT_CWAY_TRAYBLOCK_A	1A2	D	To-20-3	H=400	NO	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B20682F	ELECT_CWAY_TRAY_BLOCK_TRO	1A2	C	TRo-20	H=400	NO	<>	<>	<>	<>	90	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B206826	ELECT_CWAY_TRAYBLOCK_A	1A2	B	To-20-4	H=400	NO	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B204B65	ELECT_CWAY_TRAYBLOCK_A	1A1S	H	To-25-7.5	H=450	NO	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B204B5C	ELECT_HANGER_S-TYPE	1A1S	01	<>	<>	NO	<>	<>	<>	<>	<>	250A	H=450	<>	<>	<>	<>	<>	<>	<>
'B204B55	ELECT_HANGER_S-TYPE	1A1S	01	<>	<>	NO	<>	<>	<>	<>	<>	250A	H=450	<>	<>	<>	<>	<>	<>	<>
'B204B4E	ELECT_HANGER_S-TYPE	1A1S	04	<>	<>	NO	<>	<>	<>	<>	<>	250A	H=375	<>	<>	<>	<>	<>	<>	<>
'B204B46	ELECT_HANGER_S-TYPE	1A1S	05	<>	<>	NO	<>	<>	<>	<>	<>	150A	H=450	<>	<>	<>	<>	<>	<>	<>
'B204B3F	ELECT_HANGER_S-TYPE	1A1S	05	<>	<>	NO	<>	<>	<>	<>	<>	150A	H=450	<>	<>	<>	<>	<>	<>	<>
'B204B37	ELECT_HANGER_S-TYPE	1A1S	01	<>	<>	NO	<>	<>	<>	<>	<>	250A	H=450	<>	<>	<>	<>	<>	<>	<>
'B204B30	ELECT_HANGER_S-TYPE	1A1S	01	<>	<>	NO	<>	<>	<>	<>	<>	250A	H=450	<>	<>	<>	<>	<>	<>	<>
'B204B28	ELECT_HANGER_S-TYPE	1A1S	06	<>	<>	NO	<>	<>	<>	<>	<>	200A	H=450	<>	<>	<>	<>	<>	<>	<>
'B204B20	ELECT_HANGER_S-TYPE	1A1S	06	<>	<>	NO	<>	<>	<>	<>	<>	200A	H=450	<>	<>	<>	<>	<>	<>	<>
'B204B1A	ELECT_BRACKET	1A1S	H	<>	<>	<>	<>	<>	I-25-45	320	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B204B14	ELECT_BRACKET	1A1S	H	<>	<>	<>	<>	<>	I-25-45	320	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B204B0E	ELECT_BRACKET	1A1S	F	<>	<>	<>	<>	<>	I-25-45	320	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B204B08	ELECT_BRACKET	1A1S	F	<>	<>	<>	<>	<>	I-25-45	320	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B204B01	ELECT_BRACKET	1A1S	E	<>	<>	<>	<>	<>	I-25-45	320	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B204AFB	ELECT_BRACKET	1A1S	E	<>	<>	<>	<>	<>	I-25-45	320	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B204AF5	ELECT_BRACKET	1A1S	D	<>	<>	<>	<>	<>	I-25-45	320	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B204AEF	ELECT_BRACKET	1A1S	C	<>	<>	<>	<>	<>	I-40-55	319	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B204AE9	ELECT_BRACKET	1A1S	C	<>	<>	<>	<>	<>	I-40-55	319	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B204AE3	ELECT_BRACKET	1A1S	C	<>	<>	<>	<>	<>	I-40-55	319	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B204AD9	ELECT_CWAY_TRAY_BLOCK_TRO	1A1S	G	TRo-25	H=450	NO	<>	<>	<>	<>	45	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B204AD0	ELECT_CWAY_TRAYBLOCK_A	1A1S	F	To-25-3.3	H=450	NO	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B204AC8	ELECT_CWAY_TRAYBLOCK_A	1A1S	E	To-25-12	H=450	NO	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B204ABF	ELECT_CWAY_TRAYBLOCK_A	1A1S	D	To-25-9.2		NO	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B204AB7	ELECT_CWAY_TRAYBLOCK_A	1A1S	C	To-40-24.4	H=550	NO	2	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B204A82	ELECT_HANGER_S-TYPE	1A1S	10	<>	<>	NO	<>	<>	<>	<>	<>	250A	H=350	<>	<>	<>	<>	<>	<>	<>
'B204A7B	ELECT_HANGER_S-TYPE	1A1S	10	<>	<>	NO	<>	<>	<>	<>	<>	250A	H=350	<>	<>	<>	<>	<>	<>	<>
'B204A6C	ELECT_HANGER_S-TYPE	1A1S	10	<>	<>	NO	<>	<>	<>	<>	<>	250A	H=350	<>	<>	<>	<>	<>	<>	<>
'B204A64	ELECT_HANGER_S-TYPE	1A1S	01	<>	<>	NO	<>	<>	<>	<>	<>	250A	H=450	<>	<>	<>	<>	<>	<>	<>
'B204A5E	ELECT_BRACKET	1A1S	P	<>	<>	<>	<>	<>	I-30-45	301	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B204A58	ELECT_BRACKET	1A1S	P	<>	<>	<>	<>	<>	I-30-45	301	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B204A52	ELECT_BRACKET	1A1S	N	<>	<>	<>	<>	<>	I-30-45	301	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B204A4C	ELECT_BRACKET	1A1S	N	<>	<>	<>	<>	<>	I-30-45	301	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B204A45	ELECT_BRACKET	1A1S	L	<>	<>	<>	<>	<>	I-30-45	301	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B204A3F	ELECT_BRACKET	1A1S	L	<>	<>	<>	<>	<>	I-30-45	301	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B204A20	ELECT_BRACKET	1A1S	J	<>	<>	<>	<>	<>	I-25-25	321	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
